COD_AC;RAG_SOC;NOME_COM;SIGLA_AUTO;PRO_COM;POP21
AC001E00838;e-distribuzione S.p.A.;SERMIDE E FELONICA;MN;20061;1108
AC001E00839;e-distribuzione S.p.A.;BORGOCARBONARA;MN;20073;1669
AC001E00839;e-distribuzione S.p.A.;MAGNACAVALLO;MN;20029;150
AC001E00839;e-distribuzione S.p.A.;SERMIDE E FELONICA;MN;20061;6004
AC001E00889;e-distribuzione S.p.A.;SUSTINENTE;MN;20064;60
AC001E00889;e-distribuzione S.p.A.;VILLIMPENTA;MN;20068;2093
AC001E01088;e-distribuzione S.p.A.;BRALLO DI PREGOLA;PV;18021;251
AC001E01105;e-distribuzione S.p.A.;BAGNARIA;PV;18007;632
AC001E01105;e-distribuzione S.p.A.;BRALLO DI PREGOLA;PV;18021;263
AC001E01105;e-distribuzione S.p.A.;COLLI VERDI;PV;18193;896
AC001E01105;e-distribuzione S.p.A.;FORTUNAGO;PV;18064;201
AC001E01105;e-distribuzione S.p.A.;MENCONICO;PV;18089;352
AC001E01105;e-distribuzione S.p.A.;MONTESEGALE;PV;18098;8
AC001E01105;e-distribuzione S.p.A.;PONTE NIZZA;PV;18117;739
AC001E01105;e-distribuzione S.p.A.;ROMAGNESE;PV;18128;580
AC001E01105;e-distribuzione S.p.A.;SANTA MARGHERITA DI STAFFORA;PV;18142;448
AC001E01105;e-distribuzione S.p.A.;VAL DI NIZZA;PV;18166;579
AC001E01105;e-distribuzione S.p.A.;VARZI;PV;18171;3013
AC001E01105;e-distribuzione S.p.A.;ZAVATTARELLO;PV;18184;925
AC001E01109;e-distribuzione S.p.A.;BORGO PRIOLO;PV;18016;203
AC001E01109;e-distribuzione S.p.A.;CECIMA;PV;18042;244
AC001E01109;e-distribuzione S.p.A.;CODEVILLA;PV;18051;941
AC001E01109;e-distribuzione S.p.A.;FORTUNAGO;PV;18064;147
AC001E01109;e-distribuzione S.p.A.;GODIASCO SALICE TERME;PV;18073;3192
AC001E01109;e-distribuzione S.p.A.;MONTESEGALE;PV;18098;255
AC001E01109;e-distribuzione S.p.A.;PONTE NIZZA;PV;18117;33
AC001E01109;e-distribuzione S.p.A.;RETORBIDO;PV;18121;1530
AC001E01109;e-distribuzione S.p.A.;RIVANAZZANO TERME;PV;18122;5115
AC001E01109;e-distribuzione S.p.A.;ROCCA SUSELLA;PV;18126;228
AC001E01109;e-distribuzione S.p.A.;TORRAZZA COSTE;PV;18155;550
AC001E01161;e-distribuzione S.p.A.;ROVESCALA;PV;18131;8
AC001E01161;e-distribuzione S.p.A.;SANTA MARIA DELLA VERSA;PV;18143;18
AC001E01162;e-distribuzione S.p.A.;BARBIANELLO;PV;18008;874
AC001E01162;e-distribuzione S.p.A.;BELGIOIOSO;PV;18013;0
AC001E01162;e-distribuzione S.p.A.;BRONI;PV;18024;9585
AC001E01162;e-distribuzione S.p.A.;CAMPOSPINOSO;PV;18026;1091
AC001E01162;e-distribuzione S.p.A.;CANNETO PAVESE;PV;18029;1306
AC001E01162;e-distribuzione S.p.A.;CASANOVA LONATI;PV;18031;453
AC001E01162;e-distribuzione S.p.A.;CASTANA;PV;18036;710
AC001E01162;e-distribuzione S.p.A.;CIGOGNOLA;PV;18049;1312
AC001E01162;e-distribuzione S.p.A.;COLLI VERDI;PV;18193;100
AC001E01162;e-distribuzione S.p.A.;GOLFERENZO;PV;18074;175
AC001E01162;e-distribuzione S.p.A.;LIRIO;PV;18082;134
AC001E01162;e-distribuzione S.p.A.;MEZZANINO;PV;18092;1320
AC001E01162;e-distribuzione S.p.A.;MONTALTO PAVESE;PV;18094;146
AC001E01162;e-distribuzione S.p.A.;MONTECALVO VERSIGGIA;PV;18096;516
AC001E01162;e-distribuzione S.p.A.;MONTESCANO;PV;18097;416
AC001E01162;e-distribuzione S.p.A.;MONTU` BECCARIA;PV;18100;1139
AC001E01162;e-distribuzione S.p.A.;MORNICO LOSANA;PV;18101;4
AC001E01162;e-distribuzione S.p.A.;PIETRA DE` GIORGI;PV;18111;755
AC001E01162;e-distribuzione S.p.A.;REDAVALLE;PV;18120;1064
AC001E01162;e-distribuzione S.p.A.;ROCCA DE` GIORGI;PV;18125;60
AC001E01162;e-distribuzione S.p.A.;ROVESCALA;PV;18131;16
AC001E01162;e-distribuzione S.p.A.;SAN CIPRIANO PO;PV;18133;465
AC001E01162;e-distribuzione S.p.A.;SANTA GIULETTA;PV;18140;0
AC001E01162;e-distribuzione S.p.A.;SANTA MARIA DELLA VERSA;PV;18143;2224
AC001E01162;e-distribuzione S.p.A.;STRADELLA;PV;18153;10321
AC001E01162;e-distribuzione S.p.A.;TRAVACO` SICCOMARIO;PV;18162;0
AC001E01162;e-distribuzione S.p.A.;VERRUA PO;PV;18175;56
AC001E01162;e-distribuzione S.p.A.;VOLPARA;PV;18183;124
AC001E01163;e-distribuzione S.p.A.;BORGO PRIOLO;PV;18016;1116
AC001E01163;e-distribuzione S.p.A.;BORGORATTO MORMOROLO;PV;18017;417
AC001E01163;e-distribuzione S.p.A.;CALVIGNANO;PV;18025;106
AC001E01163;e-distribuzione S.p.A.;CASATISMA;PV;18032;805
AC001E01163;e-distribuzione S.p.A.;CASTEGGIO;PV;18037;6490
AC001E01163;e-distribuzione S.p.A.;CODEVILLA;PV;18051;1
AC001E01163;e-distribuzione S.p.A.;COLLI VERDI;PV;18193;22
AC001E01163;e-distribuzione S.p.A.;CORVINO SAN QUIRICO;PV;18057;972
AC001E01163;e-distribuzione S.p.A.;LUNGAVILLA;PV;18084;2312
AC001E01163;e-distribuzione S.p.A.;MONTALTO PAVESE;PV;18094;714
AC001E01163;e-distribuzione S.p.A.;MONTEBELLO DELLA BATTAGLIA;PV;18095;1467
AC001E01163;e-distribuzione S.p.A.;MORNICO LOSANA;PV;18101;586
AC001E01163;e-distribuzione S.p.A.;OLIVA GESSI;PV;18105;170
AC001E01163;e-distribuzione S.p.A.;PINAROLO PO;PV;18115;0
AC001E01163;e-distribuzione S.p.A.;ROBECCO PAVESE;PV;18124;336
AC001E01163;e-distribuzione S.p.A.;SANTA GIULETTA;PV;18140;1563
AC001E01163;e-distribuzione S.p.A.;TORRAZZA COSTE;PV;18155;1019
AC001E01163;e-distribuzione S.p.A.;TORRICELLA VERZATE;PV;18161;816
AC001E01163;e-distribuzione S.p.A.;VERRETTO;PV;18174;377
AC001E01164;e-distribuzione S.p.A.;ARENA PO;PV;18005;1522
AC001E01164;e-distribuzione S.p.A.;BELGIOIOSO;PV;18013;0
AC001E01164;e-distribuzione S.p.A.;BOSNASCO;PV;18020;636
AC001E01164;e-distribuzione S.p.A.;COSTA DE` NOBILI;PV;18058;355
AC001E01164;e-distribuzione S.p.A.;MONTU` BECCARIA;PV;18100;479
AC001E01164;e-distribuzione S.p.A.;PIEVE PORTO MORONE;PV;18114;2239
AC001E01164;e-distribuzione S.p.A.;PORTALBERA;PV;18118;1449
AC001E01164;e-distribuzione S.p.A.;ROVESCALA;PV;18131;821
AC001E01164;e-distribuzione S.p.A.;SAN CIPRIANO PO;PV;18133;0
AC001E01164;e-distribuzione S.p.A.;SAN DAMIANO AL COLLE;PV;18134;629
AC001E01164;e-distribuzione S.p.A.;SAN ZENONE AL PO;PV;18145;540
AC001E01164;e-distribuzione S.p.A.;SPESSA;PV;18152;554
AC001E01164;e-distribuzione S.p.A.;STRADELLA;PV;18153;1085
AC001E01164;e-distribuzione S.p.A.;TORRE DE` NEGRI;PV;18158;11
AC001E01164;e-distribuzione S.p.A.;ZENEVREDO;PV;18187;476
AC001E01164;e-distribuzione S.p.A.;ZERBO;PV;18188;396
AC001E01165;e-distribuzione S.p.A.;MONTICELLI PAVESE;PV;18099;0
AC001E01165;e-distribuzione S.p.A.;SENNA LODIGIANA;LO;98053;3
AC001E01167;e-distribuzione S.p.A.;GUARDAMIGLIO;LO;98029;175
AC001E01167;e-distribuzione S.p.A.;SAN ROCCO AL PORTO;LO;98049;2627
AC001E01168;e-distribuzione S.p.A.;SAN ROCCO AL PORTO;LO;98049;0
AC001E01169;e-distribuzione S.p.A.;CASEI GEROLA;PV;18033;46
AC001E01169;e-distribuzione S.p.A.;RIVANAZZANO TERME;PV;18122;24
AC001E01170;e-distribuzione S.p.A.;BASTIDA PANCARANA;PV;18011;983
AC001E01170;e-distribuzione S.p.A.;BRESSANA BOTTARONE;PV;18023;3443
AC001E01170;e-distribuzione S.p.A.;CASATISMA;PV;18032;61
AC001E01170;e-distribuzione S.p.A.;CASTELLETTO DI BRANDUZZO;PV;18038;989
AC001E01170;e-distribuzione S.p.A.;CAVA MANARA;PV;18041;6224
AC001E01170;e-distribuzione S.p.A.;CERVESINA;PV;18047;856
AC001E01170;e-distribuzione S.p.A.;LUNGAVILLA;PV;18084;145
AC001E01170;e-distribuzione S.p.A.;MEZZANA RABATTONE;PV;18091;467
AC001E01170;e-distribuzione S.p.A.;PANCARANA;PV;18108;315
AC001E01170;e-distribuzione S.p.A.;PINAROLO PO;PV;18115;1688
AC001E01170;e-distribuzione S.p.A.;PIZZALE;PV;18116;691
AC001E01170;e-distribuzione S.p.A.;REA;PV;18119;389
AC001E01170;e-distribuzione S.p.A.;ROBECCO PAVESE;PV;18124;182
AC001E01170;e-distribuzione S.p.A.;SAN MARTINO SICCOMARIO;PV;18137;831
AC001E01170;e-distribuzione S.p.A.;SOMMO;PV;18151;1060
AC001E01170;e-distribuzione S.p.A.;VERRUA PO;PV;18175;1131
AC001E01170;e-distribuzione S.p.A.;ZINASCO;PV;18190;0
AC001E01171;e-distribuzione S.p.A.;BONEMERSE;CR;19006;252
AC001E01171;e-distribuzione S.p.A.;GERRE DE`CAPRIOLI;CR;19048;1174
AC001E01171;e-distribuzione S.p.A.;PIEVE D`OLMI;CR;19074;6
AC001E01171;e-distribuzione S.p.A.;STAGNO LOMBARDO;CR;19103;1355
AC001E01173;e-distribuzione S.p.A.;CASELLE LANDI;LO;98011;211
AC001E01173;e-distribuzione S.p.A.;CASTELNUOVO BOCCA D`ADDA;LO;98013;1511
AC001E01173;e-distribuzione S.p.A.;GERRE DE`CAPRIOLI;CR;19048;132
